"","fylke","ft2012","ft2004","areal","koeff2013","koeff2005"
"1","Østfold",278352,256668,4180.68,285877.224,264193.224
"2","Akershus",556254,488618,4917.94,565106.292,497470.292
"3","Oslo",613285,521886,454.09,614102.362,522703.362
"4","Hedmark",192791,188326,27397.81,242107.058,237642.058
"5","Oppland",187147,183690,25192.09,232492.762,229035.762
"6","Buskerud",265164,242331,14910.93,292003.674,269170.674
"7","Vestfold",236424,219480,2225.05,240429.09,223485.09
"8","Telemark",170023,166124,15296.32,197556.376,193657.376
"9","Aust-Agder",111495,103374,9157.76,127978.968,119857.968
"10","Vest-Agder",174324,160127,7276.51,187421.718,173224.718
"11","Rogaland",443115,388848,9376.66,459992.988,405725.988
"12","Hordaland",490570,445059,15436.68,518356.024,472845.024
"13","Sogn",108201,107222,18619.21,141715.578,140736.578
"14","Møre",256628,244570,15099.69,283807.442,271749.442
"15","Sør-Trøndelag",297950,270266,18839.48,331861.064,304177.064
"16","Nord-Trøndelag",133390,127973,22415.02,173737.036,168320.036
"17","Nordland",238320,237057,38481.48,307586.664,306323.664
"18","Troms",158650,152628,25862.99,205203.382,199181.382
"19","Finnmark",73787,73210,48631.09,161322.962,160745.962
